index,hospital_name,city,state,hospital_type,beds,rating,nabh,specialties,address,latitude,longitude,disease,treatment,treatment_cost_inr,beds_for_specific_disease,patients_on_disease_beds,patients_treated_well,patients_not_treated_well
13000,Satara City Hospital,Satara,Maharashtra,Private,280,3.9,Yes,General Medicine | Emergency | Diagnostics,"Central area, Satara, Maharashtra",20.1302,75.0904,Type 2 diabetes,Medication and lifestyle management,3500,23,10,8,2
13001,Satara District Hospital,Satara,Maharashtra,Trust,121,3.6,No,General Medicine | Emergency | Diagnostics,"Central area, Satara, Maharashtra",20.0825,75.0813,Hypertension,Antihypertensive medication and monitoring,6400,8,6,5,1
13002,Solapur General Hospital,Solapur,Maharashtra,Government,138,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Solapur, Maharashtra",19.1895,75.1087,Dengue fever,Medical management and monitoring,8100,8,4,3,1
13003,Solapur City Hospital,Solapur,Maharashtra,Private,292,4.3,Yes,General Medicine | Emergency | Diagnostics,"Central area, Solapur, Maharashtra",19.1755,75.0999,Type 2 diabetes,Medication and lifestyle management,2500,31,22,20,2
13004,Solapur District Hospital,Solapur,Maharashtra,Trust,265,4.2,No,General Medicine | Emergency | Diagnostics,"Central area, Solapur, Maharashtra",19.2599,75.1131,Hypertension,Antihypertensive medication and monitoring,800,18,12,9,3
13005,Thane General Hospital,Thane,Maharashtra,Government,135,3.6,No,General Medicine | Emergency | Diagnostics,"Central area, Thane, Maharashtra",19.8763,75.1341,Dengue fever,Medical management and monitoring,8100,12,6,4,2
13006,Thane City Hospital,Thane,Maharashtra,Private,180,3.7,Yes,General Medicine | Emergency | Diagnostics,"Central area, Thane, Maharashtra",19.8845,75.0768,Type 2 diabetes,Medication and lifestyle management,6100,20,15,12,3
13007,Thane District Hospital,Thane,Maharashtra,Trust,243,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Thane, Maharashtra",19.9078,75.073,Hypertension,Antihypertensive medication and monitoring,8200,13,5,3,2
13008,Ulhasnagar General Hospital,Ulhasnagar,Maharashtra,Government,155,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Ulhasnagar, Maharashtra",19.9886,75.0795,Dengue fever,Medical management and monitoring,10000,15,12,9,3
13009,Ulhasnagar City Hospital,Ulhasnagar,Maharashtra,Private,208,4.1,Yes,General Medicine | Emergency | Diagnostics,"Central area, Ulhasnagar, Maharashtra",19.9006,75.0803,Type 2 diabetes,Medication and lifestyle management,15200,18,14,12,2
13010,Ulhasnagar District Hospital,Ulhasnagar,Maharashtra,Trust,253,3.6,No,General Medicine | Emergency | Diagnostics,"Central area, Ulhasnagar, Maharashtra",19.9213,75.1115,Hypertension,Antihypertensive medication and monitoring,8300,31,21,17,4
13011,Washim General Hospital,Washim,Maharashtra,Government,210,4.2,No,General Medicine | Emergency | Diagnostics,"Central area, Washim, Maharashtra",20.1446,75.1488,Dengue fever,Medical management and monitoring,1500,25,17,15,2
13012,Washim City Hospital,Washim,Maharashtra,Private,178,4,Yes,General Medicine | Emergency | Diagnostics,"Central area, Washim, Maharashtra",20.1218,75.0663,Type 2 diabetes,Medication and lifestyle management,5900,10,6,5,1
13013,Washim District Hospital,Washim,Maharashtra,Trust,185,4.6,No,General Medicine | Emergency | Diagnostics,"Central area, Washim, Maharashtra",20.125,75.1003,Hypertension,Antihypertensive medication and monitoring,3900,17,14,12,2
13014,Yavatmal General Hospital,Yavatmal,Maharashtra,Government,246,4.1,No,General Medicine | Emergency | Diagnostics,"Central area, Yavatmal, Maharashtra",19.3964,75.152,Dengue fever,Medical management and monitoring,7600,31,17,13,4
13015,Yavatmal City Hospital,Yavatmal,Maharashtra,Private,133,3.9,Yes,General Medicine | Emergency | Diagnostics,"Central area, Yavatmal, Maharashtra",19.4515,75.1172,Type 2 diabetes,Medication and lifestyle management,20600,8,5,4,1
13016,Yavatmal District Hospital,Yavatmal,Maharashtra,Trust,190,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Yavatmal, Maharashtra",19.4489,75.0905,Hypertension,Antihypertensive medication and monitoring,6400,13,10,9,1
13017,Bishnupur General Hospital,Bishnupur,Manipur,Government,204,4.2,No,General Medicine | Emergency | Diagnostics,"Central area, Bishnupur, Manipur",24.8771,93.3233,Dengue fever,Medical management and monitoring,9000,20,10,7,3
13018,Bishnupur City Hospital,Bishnupur,Manipur,Private,261,4.3,Yes,General Medicine | Emergency | Diagnostics,"Central area, Bishnupur, Manipur",24.8911,93.2765,Type 2 diabetes,Medication and lifestyle management,6800,30,21,17,4
13019,Bishnupur District Hospital,Bishnupur,Manipur,Trust,213,4.2,No,General Medicine | Emergency | Diagnostics,"Central area, Bishnupur, Manipur",24.8629,93.2679,Hypertension,Antihypertensive medication and monitoring,4600,10,8,7,1
13020,Chandel General Hospital,Chandel,Manipur,Government,100,3.9,No,General Medicine | Emergency | Diagnostics,"Central area, Chandel, Manipur",24.3604,93.2747,Dengue fever,Medical management and monitoring,5600,13,10,7,3
13021,Chandel City Hospital,Chandel,Manipur,Private,283,4.2,Yes,General Medicine | Emergency | Diagnostics,"Central area, Chandel, Manipur",24.371,93.2884,Type 2 diabetes,Medication and lifestyle management,9400,25,17,15,2
13022,Chandel District Hospital,Chandel,Manipur,Trust,236,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Chandel, Manipur",24.3757,93.3375,Hypertension,Antihypertensive medication and monitoring,5500,16,7,5,2
13023,Churachandpur General Hospital,Churachandpur,Manipur,Government,212,4,No,General Medicine | Emergency | Diagnostics,"Central area, Churachandpur, Manipur",24.6283,93.293,Dengue fever,Medical management and monitoring,9700,12,9,7,2
13024,Churachandpur City Hospital,Churachandpur,Manipur,Private,61,3.8,Yes,General Medicine | Emergency | Diagnostics,"Central area, Churachandpur, Manipur",24.6155,93.2901,Type 2 diabetes,Medication and lifestyle management,9000,7,3,2,1
13025,Churachandpur District Hospital,Churachandpur,Manipur,Trust,125,4.3,No,General Medicine | Emergency | Diagnostics,"Central area, Churachandpur, Manipur",24.6036,93.3374,Hypertension,Antihypertensive medication and monitoring,1200,19,14,12,2
13026,Imphal General Hospital,Imphal,Manipur,Government,152,3.8,No,General Medicine | Emergency | Diagnostics,"Central area, Imphal, Manipur",24.2062,93.2924,Dengue fever,Medical management and monitoring,9500,15,6,4,2
13027,Imphal City Hospital,Imphal,Manipur,Private,125,3.7,Yes,General Medicine | Emergency | Diagnostics,"Central area, Imphal, Manipur",24.1609,93.353,Type 2 diabetes,Medication and lifestyle management,8700,11,8,7,1
13028,Imphal District Hospital,Imphal,Manipur,Trust,104,4,No,General Medicine | Emergency | Diagnostics,"Central area, Imphal, Manipur",24.1621,93.2909,Hypertension,Antihypertensive medication and monitoring,1700,7,5,4,1
13029,Jiribam General Hospital,Jiribam,Manipur,Government,161,3.9,No,General Medicine | Emergency | Diagnostics,"Central area, Jiribam, Manipur",24.3593,93.2748,Dengue fever,Medical management and monitoring,16000,24,20,16,4
13030,Jiribam City Hospital,Jiribam,Manipur,Private,261,4.1,Yes,General Medicine | Emergency | Diagnostics,"Central area, Jiribam, Manipur",24.3912,93.3449,Type 2 diabetes,Medication and lifestyle management,15400,13,7,6,1
13031,Jiribam District Hospital,Jiribam,Manipur,Trust,75,4.2,No,General Medicine | Emergency | Diagnostics,"Central area, Jiribam, Manipur",24.3981,93.2837,Hypertension,Antihypertensive medication and monitoring,9100,8,5,3,2
13032,Kakching General Hospital,Kakching,Manipur,Government,72,3.7,No,General Medicine | Emergency | Diagnostics,"Central area, Kakching, Manipur",24.5969,93.2774,Dengue fever,Medical management and monitoring,15400,9,6,5,1
13033,Kakching City Hospital,Kakching,Manipur,Private,266,3.8,Yes,General Medicine | Emergency | Diagnostics,"Central area, Kakching, Manipur",24.5678,93.3097,Type 2 diabetes,Medication and lifestyle management,27100,33,21,18,3
13034,Kakching District Hospital,Kakching,Manipur,Trust,296,3.7,No,General Medicine | Emergency | Diagnostics,"Central area, Kakching, Manipur",24.6068,93.2996,Hypertension,Antihypertensive medication and monitoring,8600,37,30,26,4
13035,Noney General Hospital,Noney,Manipur,Government,195,4.1,No,General Medicine | Emergency | Diagnostics,"Central area, Noney, Manipur",25.2355,93.2888,Dengue fever,Medical management and monitoring,12000,18,14,10,4
13036,Noney City Hospital,Noney,Manipur,Private,81,4.1,Yes,General Medicine | Emergency | Diagnostics,"Central area, Noney, Manipur",25.235,93.2944,Type 2 diabetes,Medication and lifestyle management,4800,3,2,1,1
13037,Noney District Hospital,Noney,Manipur,Trust,80,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Noney, Manipur",25.269,93.3344,Hypertension,Antihypertensive medication and monitoring,11800,12,9,8,1
13038,Senapati General Hospital,Senapati,Manipur,Government,199,3.7,No,General Medicine | Emergency | Diagnostics,"Central area, Senapati, Manipur",24.5588,93.3473,Dengue fever,Medical management and monitoring,11600,21,16,13,3
13039,Senapati City Hospital,Senapati,Manipur,Private,84,3.9,Yes,General Medicine | Emergency | Diagnostics,"Central area, Senapati, Manipur",24.6422,93.35,Type 2 diabetes,Medication and lifestyle management,23300,9,6,5,1
13040,Senapati District Hospital,Senapati,Manipur,Trust,165,3.9,No,General Medicine | Emergency | Diagnostics,"Central area, Senapati, Manipur",24.5945,93.3171,Hypertension,Antihypertensive medication and monitoring,4800,17,9,7,2
13041,Tamenglong General Hospital,Tamenglong,Manipur,Government,247,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Tamenglong, Manipur",25.0716,93.2654,Dengue fever,Medical management and monitoring,1800,25,17,13,4
13042,Tamenglong City Hospital,Tamenglong,Manipur,Private,298,4,Yes,General Medicine | Emergency | Diagnostics,"Central area, Tamenglong, Manipur",25.0133,93.3352,Type 2 diabetes,Medication and lifestyle management,20500,31,12,9,3
13043,Tamenglong District Hospital,Tamenglong,Manipur,Trust,162,4.2,No,General Medicine | Emergency | Diagnostics,"Central area, Tamenglong, Manipur",25.0783,93.3315,Hypertension,Antihypertensive medication and monitoring,1700,10,4,3,1
13044,Thoubal General Hospital,Thoubal,Manipur,Government,207,4.2,No,General Medicine | Emergency | Diagnostics,"Central area, Thoubal, Manipur",24.4139,93.3489,Dengue fever,Medical management and monitoring,12800,26,20,18,2
13045,Thoubal City Hospital,Thoubal,Manipur,Private,255,3.7,Yes,General Medicine | Emergency | Diagnostics,"Central area, Thoubal, Manipur",24.4256,93.2864,Type 2 diabetes,Medication and lifestyle management,11000,23,13,11,2
13046,Thoubal District Hospital,Thoubal,Manipur,Trust,256,4.1,No,General Medicine | Emergency | Diagnostics,"Central area, Thoubal, Manipur",24.3928,93.3415,Hypertension,Antihypertensive medication and monitoring,7600,34,15,11,4
13047,Ukhrul General Hospital,Ukhrul,Manipur,Government,120,4.6,No,General Medicine | Emergency | Diagnostics,"Central area, Ukhrul, Manipur",24.2148,93.2694,Dengue fever,Medical management and monitoring,9000,6,3,2,1
13048,Ukhrul City Hospital,Ukhrul,Manipur,Private,257,4.3,Yes,General Medicine | Emergency | Diagnostics,"Central area, Ukhrul, Manipur",24.2134,93.2997,Type 2 diabetes,Medication and lifestyle management,17700,30,17,14,3
13049,Ukhrul District Hospital,Ukhrul,Manipur,Trust,191,4,No,General Medicine | Emergency | Diagnostics,"Central area, Ukhrul, Manipur",24.1974,93.2701,Hypertension,Antihypertensive medication and monitoring,5200,10,5,3,2
13050,Baghmara General Hospital,Baghmara,Meghalaya,Government,176,3.8,No,General Medicine | Emergency | Diagnostics,"Central area, Baghmara, Meghalaya",25.7802,90.7397,Dengue fever,Medical management and monitoring,6800,22,10,9,1
13051,Baghmara City Hospital,Baghmara,Meghalaya,Private,102,3.7,Yes,General Medicine | Emergency | Diagnostics,"Central area, Baghmara, Meghalaya",25.7969,90.7306,Type 2 diabetes,Medication and lifestyle management,15500,13,7,6,1
13052,Baghmara District Hospital,Baghmara,Meghalaya,Trust,223,4.3,No,General Medicine | Emergency | Diagnostics,"Central area, Baghmara, Meghalaya",25.7535,90.8142,Hypertension,Antihypertensive medication and monitoring,6600,24,13,10,3
13053,Jowai General Hospital,Jowai,Meghalaya,Government,130,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Jowai, Meghalaya",25.1646,90.7625,Dengue fever,Medical management and monitoring,1300,8,4,3,1
13054,Jowai City Hospital,Jowai,Meghalaya,Private,135,4,Yes,General Medicine | Emergency | Diagnostics,"Central area, Jowai, Meghalaya",25.1325,90.7871,Type 2 diabetes,Medication and lifestyle management,19700,11,8,7,1
13055,Jowai District Hospital,Jowai,Meghalaya,Trust,281,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Jowai, Meghalaya",25.1684,90.7586,Hypertension,Antihypertensive medication and monitoring,11300,41,31,23,8
13056,Mairang General Hospital,Mairang,Meghalaya,Government,269,4.6,No,General Medicine | Emergency | Diagnostics,"Central area, Mairang, Meghalaya",25.539,90.7856,Dengue fever,Medical management and monitoring,8000,19,12,10,2
13057,Mairang City Hospital,Mairang,Meghalaya,Private,277,4.4,Yes,General Medicine | Emergency | Diagnostics,"Central area, Mairang, Meghalaya",25.5639,90.7349,Type 2 diabetes,Medication and lifestyle management,3700,30,17,13,4
13058,Mairang District Hospital,Mairang,Meghalaya,Trust,245,3.9,No,General Medicine | Emergency | Diagnostics,"Central area, Mairang, Meghalaya",25.5972,90.7139,Hypertension,Antihypertensive medication and monitoring,2300,11,9,7,2
13059,Nongpoh General Hospital,Nongpoh,Meghalaya,Government,175,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Nongpoh, Meghalaya",25.6287,90.7599,Dengue fever,Medical management and monitoring,4300,20,15,11,4
13060,Nongpoh City Hospital,Nongpoh,Meghalaya,Private,159,4.2,Yes,General Medicine | Emergency | Diagnostics,"Central area, Nongpoh, Meghalaya",25.6373,90.7474,Type 2 diabetes,Medication and lifestyle management,19600,21,17,12,5
13061,Nongpoh District Hospital,Nongpoh,Meghalaya,Trust,223,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Nongpoh, Meghalaya",25.617,90.7276,Hypertension,Antihypertensive medication and monitoring,7200,14,5,3,2
13062,Nongstoin General Hospital,Nongstoin,Meghalaya,Government,136,4.3,No,General Medicine | Emergency | Diagnostics,"Central area, Nongstoin, Meghalaya",24.9552,90.792,Dengue fever,Medical management and monitoring,3600,6,4,3,1
13063,Nongstoin City Hospital,Nongstoin,Meghalaya,Private,245,4.2,Yes,General Medicine | Emergency | Diagnostics,"Central area, Nongstoin, Meghalaya",24.9217,90.8246,Type 2 diabetes,Medication and lifestyle management,7900,25,16,12,4
13064,Nongstoin District Hospital,Nongstoin,Meghalaya,Trust,151,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Nongstoin, Meghalaya",24.9467,90.726,Hypertension,Antihypertensive medication and monitoring,8500,12,5,4,1
13065,Resubelpara General Hospital,Resubelpara,Meghalaya,Government,143,3.6,No,General Medicine | Emergency | Diagnostics,"Central area, Resubelpara, Meghalaya",25.3586,90.8133,Dengue fever,Medical management and monitoring,6400,19,13,11,2
13066,Resubelpara City Hospital,Resubelpara,Meghalaya,Private,93,4.5,Yes,General Medicine | Emergency | Diagnostics,"Central area, Resubelpara, Meghalaya",25.3679,90.7569,Type 2 diabetes,Medication and lifestyle management,23500,7,5,4,1
13067,Resubelpara District Hospital,Resubelpara,Meghalaya,Trust,233,4,No,General Medicine | Emergency | Diagnostics,"Central area, Resubelpara, Meghalaya",25.3869,90.7645,Hypertension,Antihypertensive medication and monitoring,2300,36,18,14,4
13068,Shillong General Hospital,Shillong,Meghalaya,Government,190,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Shillong, Meghalaya",25.8391,90.8085,Dengue fever,Medical management and monitoring,11500,14,11,8,3
13069,Shillong City Hospital,Shillong,Meghalaya,Private,148,4.3,Yes,General Medicine | Emergency | Diagnostics,"Central area, Shillong, Meghalaya",25.7983,90.7439,Type 2 diabetes,Medication and lifestyle management,20000,9,6,4,2
13070,Shillong District Hospital,Shillong,Meghalaya,Trust,276,4.1,No,General Medicine | Emergency | Diagnostics,"Central area, Shillong, Meghalaya",25.8234,90.816,Hypertension,Antihypertensive medication and monitoring,5500,17,8,6,2
13071,Tura General Hospital,Tura,Meghalaya,Government,154,3.6,No,General Medicine | Emergency | Diagnostics,"Central area, Tura, Meghalaya",25.033,90.8026,Dengue fever,Medical management and monitoring,14000,20,11,9,2
13072,Tura City Hospital,Tura,Meghalaya,Private,158,4.6,Yes,General Medicine | Emergency | Diagnostics,"Central area, Tura, Meghalaya",25.0294,90.7361,Type 2 diabetes,Medication and lifestyle management,9100,17,14,11,3
13073,Tura District Hospital,Tura,Meghalaya,Trust,133,4.2,No,General Medicine | Emergency | Diagnostics,"Central area, Tura, Meghalaya",24.9723,90.7634,Hypertension,Antihypertensive medication and monitoring,3500,20,13,11,2
13074,Williamnagar General Hospital,Williamnagar,Meghalaya,Government,103,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Williamnagar, Meghalaya",25.6196,90.7689,Dengue fever,Medical management and monitoring,6300,5,4,3,1
13075,Williamnagar City Hospital,Williamnagar,Meghalaya,Private,188,3.8,Yes,General Medicine | Emergency | Diagnostics,"Central area, Williamnagar, Meghalaya",25.5928,90.7881,Type 2 diabetes,Medication and lifestyle management,28700,15,7,6,1
13076,Williamnagar District Hospital,Williamnagar,Meghalaya,Trust,136,3.9,No,General Medicine | Emergency | Diagnostics,"Central area, Williamnagar, Meghalaya",25.6241,90.7394,Hypertension,Antihypertensive medication and monitoring,3200,6,4,3,1
13077,Aizawl General Hospital,Aizawl,Mizoram,Government,80,3.7,No,General Medicine | Emergency | Diagnostics,"Central area, Aizawl, Mizoram",22.7068,92.3516,Dengue fever,Medical management and monitoring,3700,6,3,2,1
13078,Aizawl City Hospital,Aizawl,Mizoram,Private,190,4.1,Yes,General Medicine | Emergency | Diagnostics,"Central area, Aizawl, Mizoram",22.6613,92.3101,Type 2 diabetes,Medication and lifestyle management,21300,12,5,4,1
13079,Aizawl District Hospital,Aizawl,Mizoram,Trust,217,4.3,No,General Medicine | Emergency | Diagnostics,"Central area, Aizawl, Mizoram",22.7372,92.3776,Hypertension,Antihypertensive medication and monitoring,12400,34,27,22,5
13080,Champhai General Hospital,Champhai,Mizoram,Government,88,4.1,No,General Medicine | Emergency | Diagnostics,"Central area, Champhai, Mizoram",23.0001,92.3264,Dengue fever,Medical management and monitoring,9400,8,5,4,1
13081,Champhai City Hospital,Champhai,Mizoram,Private,256,3.6,Yes,General Medicine | Emergency | Diagnostics,"Central area, Champhai, Mizoram",22.9973,92.3273,Type 2 diabetes,Medication and lifestyle management,21200,18,15,11,4
13082,Champhai District Hospital,Champhai,Mizoram,Trust,256,4.6,No,General Medicine | Emergency | Diagnostics,"Central area, Champhai, Mizoram",23.0761,92.351,Hypertension,Antihypertensive medication and monitoring,4500,24,20,16,4
13083,Hnahthial General Hospital,Hnahthial,Mizoram,Government,114,4.6,No,General Medicine | Emergency | Diagnostics,"Central area, Hnahthial, Mizoram",23.2712,92.2946,Dengue fever,Medical management and monitoring,15000,14,11,8,3
13084,Hnahthial City Hospital,Hnahthial,Mizoram,Private,215,4.4,Yes,General Medicine | Emergency | Diagnostics,"Central area, Hnahthial, Mizoram",23.2654,92.3065,Type 2 diabetes,Medication and lifestyle management,13800,19,15,13,2
13085,Hnahthial District Hospital,Hnahthial,Mizoram,Trust,165,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Hnahthial, Mizoram",23.302,92.3344,Hypertension,Antihypertensive medication and monitoring,1800,14,12,10,2
13086,Khawzawl General Hospital,Khawzawl,Mizoram,Government,77,3.6,No,General Medicine | Emergency | Diagnostics,"Central area, Khawzawl, Mizoram",23.0807,92.2854,Dengue fever,Medical management and monitoring,4400,4,2,1,1
13087,Khawzawl City Hospital,Khawzawl,Mizoram,Private,136,4.3,Yes,General Medicine | Emergency | Diagnostics,"Central area, Khawzawl, Mizoram",23.1307,92.3515,Type 2 diabetes,Medication and lifestyle management,14100,13,9,7,2
13088,Khawzawl District Hospital,Khawzawl,Mizoram,Trust,196,3.9,No,General Medicine | Emergency | Diagnostics,"Central area, Khawzawl, Mizoram",23.1479,92.3338,Hypertension,Antihypertensive medication and monitoring,8500,31,25,19,6
13089,Kolasib General Hospital,Kolasib,Mizoram,Government,180,3.7,No,General Medicine | Emergency | Diagnostics,"Central area, Kolasib, Mizoram",22.9086,92.3105,Dengue fever,Medical management and monitoring,10500,27,23,21,2
13090,Kolasib City Hospital,Kolasib,Mizoram,Private,105,4.1,Yes,General Medicine | Emergency | Diagnostics,"Central area, Kolasib, Mizoram",22.8923,92.3088,Type 2 diabetes,Medication and lifestyle management,20100,9,7,5,2
13091,Kolasib District Hospital,Kolasib,Mizoram,Trust,108,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Kolasib, Mizoram",22.8868,92.3066,Hypertension,Antihypertensive medication and monitoring,8600,9,5,4,1
13092,Lawrangtlai General Hospital,Lawrangtlai,Mizoram,Government,134,4.1,No,General Medicine | Emergency | Diagnostics,"Central area, Lawrangtlai, Mizoram",22.5982,92.3067,Dengue fever,Medical management and monitoring,12100,6,2,1,1
13093,Lawrangtlai City Hospital,Lawrangtlai,Mizoram,Private,238,3.7,Yes,General Medicine | Emergency | Diagnostics,"Central area, Lawrangtlai, Mizoram",22.5441,92.3278,Type 2 diabetes,Medication and lifestyle management,17100,20,17,14,3
13094,Lawrangtlai District Hospital,Lawrangtlai,Mizoram,Trust,108,3.8,No,General Medicine | Emergency | Diagnostics,"Central area, Lawrangtlai, Mizoram",22.6119,92.3558,Hypertension,Antihypertensive medication and monitoring,10500,16,14,11,3
13095,Lunglei General Hospital,Lunglei,Mizoram,Government,282,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Lunglei, Mizoram",22.9016,92.3337,Dengue fever,Medical management and monitoring,11900,15,10,8,2
13096,Lunglei City Hospital,Lunglei,Mizoram,Private,177,4.2,Yes,General Medicine | Emergency | Diagnostics,"Central area, Lunglei, Mizoram",22.8868,92.3779,Type 2 diabetes,Medication and lifestyle management,28300,27,24,21,3
13097,Lunglei District Hospital,Lunglei,Mizoram,Trust,88,3.6,No,General Medicine | Emergency | Diagnostics,"Central area, Lunglei, Mizoram",22.9149,92.3182,Hypertension,Antihypertensive medication and monitoring,2800,9,4,3,1
13098,Mamit General Hospital,Mamit,Mizoram,Government,120,3.8,No,General Medicine | Emergency | Diagnostics,"Central area, Mamit, Mizoram",23.7386,92.3075,Dengue fever,Medical management and monitoring,11100,13,11,8,3
13099,Mamit City Hospital,Mamit,Mizoram,Private,182,4.4,Yes,General Medicine | Emergency | Diagnostics,"Central area, Mamit, Mizoram",23.7256,92.3515,Type 2 diabetes,Medication and lifestyle management,26400,22,12,9,3
13100,Mamit District Hospital,Mamit,Mizoram,Trust,178,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Mamit, Mizoram",23.7215,92.366,Hypertension,Antihypertensive medication and monitoring,3700,14,11,8,3
13101,Saiha General Hospital,Saiha,Mizoram,Government,297,4.1,No,General Medicine | Emergency | Diagnostics,"Central area, Saiha, Mizoram",23.6547,92.3569,Dengue fever,Medical management and monitoring,12800,35,19,16,3
13102,Saiha City Hospital,Saiha,Mizoram,Private,242,4.6,Yes,General Medicine | Emergency | Diagnostics,"Central area, Saiha, Mizoram",23.6703,92.3677,Type 2 diabetes,Medication and lifestyle management,19600,35,25,20,5
13103,Saiha District Hospital,Saiha,Mizoram,Trust,87,4.3,No,General Medicine | Emergency | Diagnostics,"Central area, Saiha, Mizoram",23.6728,92.3606,Hypertension,Antihypertensive medication and monitoring,8400,5,2,1,1
13104,Serchhip General Hospital,Serchhip,Mizoram,Government,218,4,No,General Medicine | Emergency | Diagnostics,"Central area, Serchhip, Mizoram",23.0461,92.3019,Dengue fever,Medical management and monitoring,4200,13,8,7,1
13105,Serchhip City Hospital,Serchhip,Mizoram,Private,271,3.6,Yes,General Medicine | Emergency | Diagnostics,"Central area, Serchhip, Mizoram",23.0652,92.3937,Type 2 diabetes,Medication and lifestyle management,23800,32,23,20,3
13106,Serchhip District Hospital,Serchhip,Mizoram,Trust,216,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Serchhip, Mizoram",23.1057,92.3534,Hypertension,Antihypertensive medication and monitoring,4200,20,12,11,1
13107,Chumoukedima General Hospital,Chumoukedima,Nagaland,Government,247,4.1,No,General Medicine | Emergency | Diagnostics,"Central area, Chumoukedima, Nagaland",26.06,93.9761,Dengue fever,Medical management and monitoring,13200,18,14,11,3
13108,Chumoukedima City Hospital,Chumoukedima,Nagaland,Private,137,3.9,Yes,General Medicine | Emergency | Diagnostics,"Central area, Chumoukedima, Nagaland",26.0684,93.9104,Type 2 diabetes,Medication and lifestyle management,11600,6,3,2,1
13109,Chumoukedima District Hospital,Chumoukedima,Nagaland,Trust,268,4,No,General Medicine | Emergency | Diagnostics,"Central area, Chumoukedima, Nagaland",26.1042,93.9862,Hypertension,Antihypertensive medication and monitoring,6900,28,17,13,4
13110,Dimapur General Hospital,Dimapur,Nagaland,Government,99,4,No,General Medicine | Emergency | Diagnostics,"Central area, Dimapur, Nagaland",26.1261,93.9468,Dengue fever,Medical management and monitoring,13000,5,2,1,1
13111,Dimapur City Hospital,Dimapur,Nagaland,Private,249,4,Yes,General Medicine | Emergency | Diagnostics,"Central area, Dimapur, Nagaland",26.0734,93.9718,Type 2 diabetes,Medication and lifestyle management,21500,29,23,20,3
13112,Dimapur District Hospital,Dimapur,Nagaland,Trust,253,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Dimapur, Nagaland",26.1069,94.0015,Hypertension,Antihypertensive medication and monitoring,4000,40,27,23,4
13113,Kiphire General Hospital,Kiphire,Nagaland,Government,222,3.7,No,General Medicine | Emergency | Diagnostics,"Central area, Kiphire, Nagaland",26.0364,93.9568,Dengue fever,Medical management and monitoring,15700,10,5,3,2
13114,Kiphire City Hospital,Kiphire,Nagaland,Private,253,4.2,Yes,General Medicine | Emergency | Diagnostics,"Central area, Kiphire, Nagaland",26.0439,93.9737,Type 2 diabetes,Medication and lifestyle management,18400,16,9,7,2
13115,Kiphire District Hospital,Kiphire,Nagaland,Trust,297,3.8,No,General Medicine | Emergency | Diagnostics,"Central area, Kiphire, Nagaland",26.0139,93.9527,Hypertension,Antihypertensive medication and monitoring,10400,46,24,18,6
13116,Kohima General Hospital,Kohima,Nagaland,Government,198,4.3,No,General Medicine | Emergency | Diagnostics,"Central area, Kohima, Nagaland",25.8561,93.9819,Dengue fever,Medical management and monitoring,15800,24,20,15,5
13117,Kohima City Hospital,Kohima,Nagaland,Private,274,4.4,Yes,General Medicine | Emergency | Diagnostics,"Central area, Kohima, Nagaland",25.8151,94.0016,Type 2 diabetes,Medication and lifestyle management,30800,36,23,17,6
13118,Kohima District Hospital,Kohima,Nagaland,Trust,120,3.7,No,General Medicine | Emergency | Diagnostics,"Central area, Kohima, Nagaland",25.827,93.9579,Hypertension,Antihypertensive medication and monitoring,1100,6,3,2,1
13119,Longleng General Hospital,Longleng,Nagaland,Government,114,4.5,No,General Medicine | Emergency | Diagnostics,"Central area, Longleng, Nagaland",26.2343,93.9392,Dengue fever,Medical management and monitoring,2600,14,7,6,1
13120,Longleng City Hospital,Longleng,Nagaland,Private,216,4.3,Yes,General Medicine | Emergency | Diagnostics,"Central area, Longleng, Nagaland",26.2945,93.9607,Type 2 diabetes,Medication and lifestyle management,10100,12,8,7,1
13121,Longleng District Hospital,Longleng,Nagaland,Trust,215,4.4,No,General Medicine | Emergency | Diagnostics,"Central area, Longleng, Nagaland",26.2683,93.9363,Hypertension,Antihypertensive medication and monitoring,1400,19,8,7,1
